Type,adjusted_time_minutes,ASK Price Predicted
ask,10702,97.6427
ask,10703,97.573654
ask,10704,97.53009
ask,10705,97.49381
ask,10706,97.46646
ask,10707,97.772064
ask,10708,97.64647
ask,10709,97.56795
ask,10710,97.52397
ask,10711,97.170395
ask,10712,97.25941
ask,10713,97.40899
ask,10714,97.7252
ask,10715,97.93335
ask,10716,97.75351
ask,10717,97.972855
ask,10718,97.79607
ask,10719,97.67836
ask,10720,97.27982
ask,10721,97.095695
ask,10722,96.886635
ask,10723,97.12136
ask,10724,97.20543
ask,10725,97.58206
ask,10726,97.18847
ask,10727,97.263916
ask,10728,97.164215
ask,10729,96.95687
ask,10730,97.43347
ask,10731,97.41534
ask,10732,97.72688
ask,10733,97.127884
ask,10734,97.11301
ask,10735,97.22477
ask,10736,97.28247
ask,10737,97.089195
ask,10738,96.890305
ask,10739,97.06617
ask,10740,97.17468
ask,10741,97.321686
ask,10742,97.66548
ask,10743,97.57142
ask,10744,97.5183
ask,10745,97.81609
ask,10746,97.68335
ask,10747,97.59633
ask,10748,97.54459
ask,10749,97.50786
ask,10750,97.47963
ask,10751,97.45858
ask,10752,97.44356
ask,10753,97.1102
ask,10754,97.53994
ask,10755,97.49193
ask,10756,97.78075
ask,10757,97.65354
ask,10758,97.575806
ask,10759,97.208015
ask,10760,97.61269
ask,10761,97.868256
ask,10762,97.70392
ask,10763,97.60833
ask,10764,97.23845
ask,10765,97.31002
ask,10766,97.67238
ask,10767,97.25118
ask,10768,97.62793
ask,10769,97.23307
ask,10770,97.294754
ask,10771,97.33794
ask,10772,97.68286
ask,10773,97.58284
ask,10774,97.523155
ask,10775,97.37074
ask,10776,97.39265
ask,10777,97.726425
ask,10778,97.93863
ask,10779,97.507126
ask,10780,97.209404
ask,10781,97.2959
ask,10782,97.338356
ask,10783,97.355316
ask,10784,97.367615
ask,10785,97.37908
ask,10786,97.38858
ask,10787,97.395584
ask,10788,97.07765
ask,10789,97.1937
ask,10790,97.26629
ask,10791,97.30652
ask,10792,97.33476
ask,10793,97.03417
ask,10794,97.4878
ask,10795,97.780876
ask,10796,97.644104
ask,10797,97.89205
ask,10798,97.73818
ask,10799,97.63802
ask,10800,97.325386
ask,10801,97.366776
ask,10802,97.38611
ask,10803,97.39019
ask,10804,97.39289
ask,10805,97.39677
ask,10806,97.400604
ask,10807,97.40362
ask,10808,97.4058
ask,10809,97.40736
ask,10810,97.7327
ask,10811,97.71273
ask,10812,97.610596
ask,10813,97.30438
ask,10814,97.353134
ask,10815,97.37806
ask,10816,97.385376
ask,10817,97.38994
ask,10818,97.71916
ask,10819,97.93461
ask,10820,98.07848
ask,10821,97.8585
ask,10822,98.04845
ask,10823,98.17315
ask,10824,97.92511
ask,10825,98.09171
ask,10826,97.5538
ask,10827,97.52273
ask,10828,97.17624
ask,10829,97.26051
ask,10830,96.98548
ask,10831,97.12242
ask,10832,97.2111
ask,10833,97.26564
ask,10834,97.30549
ask,10835,97.336334
ask,10836,97.35934
ask,10837,97.69995
ask,10838,97.34584
ask,10839,97.04861
ask,10840,97.18303
ask,10841,97.58417
ask,10842,97.835884
ask,10843,98.00551
